keyFile,ignore,element,valueSize,keySize,container,constructType,constructUS,lookupType,lookupUS
../keys/keys_string32.txt,10,1000,256,32,unordered_map,0,811.655,0,0.380479
../keys/keys_string32.txt,10,1000,256,32,flat_map,0,4523.43,0,0.27374
../keys/keys_string32.txt,10,10000,256,32,vector,0,2546.53,0,29.6302
../keys/keys_string32.txt,10,10000,256,32,map,0,8186.23,0,0.459043
../keys/keys_string32.txt,10,10000,256,32,unordered_map,0,7118.67,0,0.293653
../keys/keys_string32.txt,10,10000,256,32,flat_map,0,425404,0,0.492014
../keys/keys_integer.txt,10,10,4,4,vector,0,0.203252,1,0.0604082
../keys/keys_integer.txt,10,10,4,4,map,0,1.71739,1,0.105058
../keys/keys_integer.txt,10,10,4,4,unordered_map,0,1.57301,1,0.135409
../keys/keys_integer.txt,10,10,4,4,flat_map,0,0.495238,1,0.0643443
../keys/keys_integer.txt,10,100,4,4,vector,0,0.655054,1,0.156148
../keys/keys_integer.txt,10,100,4,4,map,0,17.7733,1,0.317623
../keys/keys_integer.txt,10,100,4,4,unordered_map,0,20.0457,1,0.586719
../keys/keys_integer.txt,10,100,4,4,flat_map,0,8.53068,1,0.128049
../keys/keys_integer.txt,10,1000,4,4,vector,0,5.153,1,0.417054
../keys/keys_integer.txt,10,1000,4,4,map,0,201.038,1,0.690123
../keys/keys_integer.txt,10,1000,4,4,unordered_map,0,189.977,1,0.685246
../keys/keys_integer.txt,10,1000,4,4,flat_map,0,246.431,1,0.247131
../keys/keys_integer.txt,10,10000,4,4,vector,0,53.6,1,2.46745
../keys/keys_integer.txt,10,10000,4,4,map,0,2349.5,1,1.1504
../keys/keys_integer.txt,10,10000,4,4,unordered_map,0,1661.83,1,0.497942
../keys/keys_integer.txt,10,10000,4,4,flat_map,0,17617.1,1,0.367078
../keys/keys_integer.txt,10,10,16,4,vector,0,0.295789,1,0.0632653
../keys/keys_integer.txt,10,10,16,4,map,0,2.66364,1,0.104098
../keys/keys_integer.txt,10,10,16,4,unordered_map,0,2.78901,1,0.153876
../keys/keys_integer.txt,10,10,16,4,flat_map,0,0.668478,1,0.0691358
../keys/keys_integer.txt,10,100,16,4,vector,0,0.983626,1,0.213992
../keys/keys_integer.txt,10,100,16,4,map,0,21.5965,1,0.325926
../keys/keys_integer.txt,10,100,16,4,unordered_map,0,22.7268,1,0.641975
../keys/keys_integer.txt,10,100,16,4,flat_map,0,9.03728,1,0.15123
../keys/keys_integer.txt,10,1000,16,4,vector,0,8.22897,1,0.644531
../keys/keys_integer.txt,10,1000,16,4,map,0,202.096,1,0.72459
../keys/keys_integer.txt,10,1000,16,4,unordered_map,0,208.461,1,0.810196
../keys/keys_integer.txt,10,1000,16,4,flat_map,0,267.157,1,0.295473
../keys/keys_integer.txt,10,10000,16,4,vector,0,78.1017,1,4.97676
../keys/keys_integer.txt,10,10000,16,4,map,0,2538.68,1,1.24795
../keys/keys_integer.txt,10,10000,16,4,unordered_map,0,1718.75,1,0.527237
../keys/keys_integer.txt,10,10000,16,4,flat_map,0,22383,1,0.41102
../keys/keys_integer.txt,10,10,64,4,vector,0,0.631373,1,0.0747967
../keys/keys_integer.txt,10,10,64,4,map,0,3.06863,1,0.111475
../keys/keys_integer.txt,10,10,64,4,unordered_map,0,3.62653,1,0.180085
../keys/keys_integer.txt,10,10,64,4,flat_map,0,1.024,1,0.0811475
